Date,exchange_rate
2009-03-27,1343.0999755859375
2009-03-30,1391.800048828125
2009-03-31,1375.0999755859375
2009-04-01,1376.800048828125
2009-04-02,1328.300048828125
2009-04-03,1331.800048828125
2009-04-06,1300.699951171875
2009-04-07,1317.300048828125
2009-04-08,1353.0999755859375
2009-04-09,1319.9000244140625
2009-04-10,1318.0999755859375
2009-04-13,1299.4000244140625
2009-04-14,1320.5
2009-04-15,1328.300048828125
2009-04-16,1333.0999755859375
2009-04-17,1325.800048828125
2009-04-20,1327.5
2009-04-21,1354.300048828125
2009-04-22,1346.5999755859375
2009-04-23,1333.5999755859375
2009-04-24,1340.300048828125
2009-04-27,1350.5
2009-04-28,1344.9000244140625
2009-04-29,1341.300048828125
2009-04-30,1278.0999755859375
2009-05-01,1264.699951171875
2009-05-04,1262.0999755859375
2009-05-05,1273.0999755859375
2009-05-06,1271.800048828125
2009-05-07,1259.0999755859375
2009-05-08,1228.800048828125
2009-05-11,1235.5999755859375
2009-05-12,1236.699951171875
2009-05-13,1241.0999755859375
2009-05-14,1262.0999755859375
2009-05-15,1255.0
2009-05-18,1256.0
2009-05-19,1242.300048828125
2009-05-20,1245.5
2009-05-21,1233.5
2009-05-22,1243.800048828125
2009-05-25,1244.5
2009-05-26,1264.800048828125
2009-05-27,1273.199951171875
2009-05-28,1267.199951171875
2009-05-29,1250.0999755859375
2009-06-01,1249.5
2009-06-02,1231.0999755859375
2009-06-03,1240.4000244140625
2009-06-04,1247.4000244140625
2009-06-05,1253.199951171875
2009-06-08,1245.5999755859375
2009-06-09,1257.5
2009-06-10,1257.4000244140625
2009-06-11,1250.9000244140625
2009-06-12,1250.9000244140625
2009-06-15,1257.0999755859375
2009-06-16,1263.9000244140625
2009-06-17,1261.300048828125
2009-06-18,1269.800048828125
2009-06-19,1272.5
2009-06-22,1280.5999755859375
2009-06-23,1281.800048828125
2009-06-24,1281.0999755859375
2009-06-25,1285.5
2009-06-26,1282.199951171875
2009-06-29,1279.0999755859375
2009-06-30,1272.5999755859375
2009-07-01,1261.9000244140625
2009-07-02,1279.800048828125
2009-07-03,1267.699951171875
2009-07-06,1267.0
2009-07-07,1277.199951171875
2009-07-08,1274.800048828125
2009-07-09,1277.4000244140625
2009-07-10,1287.199951171875
2009-07-13,1307.199951171875
2009-07-14,1294.800048828125
2009-07-15,1272.199951171875
2009-07-16,1263.199951171875
2009-07-17,1259.5999755859375
2009-07-20,1243.199951171875
2009-07-21,1246.800048828125
2009-07-22,1251.9000244140625
2009-07-23,1255.5999755859375
2009-07-24,1245.0
2009-07-27,1239.0
2009-07-28,1240.800048828125
2009-07-29,1244.699951171875
2009-07-30,1229.699951171875
2009-07-31,1223.0999755859375
2009-08-03,1213.9000244140625
2009-08-04,1217.5999755859375
2009-08-05,1223.0
2009-08-06,1223.300048828125
2009-08-07,1222.5999755859375
2009-08-10,1228.0999755859375
2009-08-11,1241.4000244140625
2009-08-12,1241.4000244140625
2009-08-13,1235.4000244140625
2009-08-14,1240.0999755859375
2009-08-17,1256.4000244140625
2009-08-18,1243.300048828125
2009-08-19,1251.0999755859375
2009-08-20,1242.800048828125
2009-08-21,1240.699951171875
2009-08-24,1227.0999755859375
2009-08-25,1252.199951171875
2009-08-26,1247.699951171875
2009-08-27,1238.199951171875
2009-08-28,1221.5999755859375
2009-08-31,1249.5
2009-09-01,1248.0
2009-09-02,1244.199951171875
2009-09-03,1246.5
2009-09-04,1235.0999755859375
2009-09-07,1232.699951171875
2009-09-08,1220.699951171875
2009-09-09,1223.0
2009-09-10,1220.300048828125
2009-09-11,1220.9000244140625
2009-09-14,1219.9000244140625
2009-09-15,1193.300048828125
2009-09-16,1204.5
2009-09-17,1184.199951171875
2009-09-18,1187.199951171875
2009-09-21,1205.199951171875
2009-09-22,1203.199951171875
2009-09-23,1196.4000244140625
2009-09-24,1194.199951171875
2009-09-25,1157.800048828125
2009-09-28,1176.0
2009-09-29,1162.800048828125
2009-09-30,1173.699951171875
2009-10-01,1160.0999755859375
2009-10-02,1181.5
2009-10-05,1163.9000244140625
2009-10-06,1167.800048828125
2009-10-07,1164.199951171875
2009-10-08,1166.5
2009-10-09,1162.5
2009-10-12,1169.300048828125
2009-10-13,1165.4000244140625
2009-10-14,1155.199951171875
2009-10-15,1156.4000244140625
2009-10-16,1153.0
2009-10-19,1166.4000244140625
2009-10-20,1179.9000244140625
2009-10-21,1179.4000244140625
2009-10-22,1185.4000244140625
2009-10-23,1189.699951171875
2009-10-26,1183.800048828125
2009-10-27,1187.300048828125
2009-10-28,1185.0999755859375
2009-10-29,1185.0999755859375
2009-10-30,1185.5
2009-11-02,1185.4000244140625
2009-11-03,1181.5999755859375
2009-11-04,1169.0999755859375
2009-11-05,1173.4000244140625
2009-11-06,1166.4000244140625
2009-11-09,1153.699951171875
2009-11-10,1158.5999755859375
2009-11-11,1153.9000244140625
2009-11-12,1160.5999755859375
2009-11-13,1154.4000244140625
2009-11-16,1151.4000244140625
2009-11-17,1151.199951171875
2009-11-18,1155.5999755859375
2009-11-19,1160.699951171875
2009-11-20,1158.699951171875
2009-11-23,1153.5999755859375
2009-11-24,1152.300048828125
2009-11-25,1149.800048828125
2009-11-26,1159.9000244140625
2009-11-27,1172.0999755859375
2009-11-30,1160.5999755859375
2009-12-01,1139.5
2009-12-02,1151.199951171875
2009-12-03,1150.800048828125
2009-12-04,1152.699951171875
2009-12-07,1150.4000244140625
2009-12-08,1159.0999755859375
2009-12-09,1158.4000244140625
2009-12-10,1163.5
2009-12-11,1161.699951171875
2009-12-14,1155.0
2009-12-15,1156.300048828125
2009-12-16,1168.0999755859375
2009-12-17,1172.4000244140625
2009-12-18,1167.9000244140625
2009-12-21,1187.0999755859375
2009-12-22,1178.5
2009-12-23,1182.199951171875
2009-12-24,1156.0999755859375
2009-12-25,1154.699951171875
2009-12-28,1170.199951171875
2009-12-29,1166.800048828125
2009-12-30,1161.5999755859375
2009-12-31,1151.0999755859375
2010-01-01,1146.0
2010-01-04,1132.4000244140625
2010-01-05,1141.300048828125
2010-01-06,1130.4000244140625
2010-01-07,1134.9000244140625
2010-01-08,1123.0999755859375
2010-01-11,1121.300048828125
2010-01-12,1123.5999755859375
2010-01-13,1119.5
2010-01-14,1120.699951171875
2010-01-15,1121.800048828125
2010-01-18,1122.300048828125
2010-01-19,1128.0999755859375
2010-01-20,1132.199951171875
2010-01-21,1142.0999755859375
2010-01-22,1154.199951171875
2010-01-25,1130.800048828125
2010-01-26,1159.5999755859375
2010-01-27,1163.800048828125
2010-01-28,1153.0999755859375
2010-01-29,1158.199951171875
2010-02-01,1163.199951171875
2010-02-02,1157.4000244140625
2010-02-03,1148.4000244140625
2010-02-04,1147.0
2010-02-05,1162.9000244140625
2010-02-08,1173.4000244140625
2010-02-09,1158.5
2010-02-10,1158.4000244140625
2010-02-11,1152.5999755859375
2010-02-12,1150.800048828125
2010-02-15,1146.4000244140625
2010-02-16,1145.199951171875
2010-02-17,1147.5
2010-02-18,1152.4000244140625
2010-02-19,1146.199951171875
2010-02-22,1147.9000244140625
2010-02-23,1156.199951171875
2010-02-24,1158.5999755859375
2010-02-25,1161.0999755859375
2010-02-26,1161.4000244140625
2010-03-01,1148.0
2010-03-02,1142.0999755859375
2010-03-03,1143.199951171875
2010-03-04,1143.5
2010-03-05,1137.800048828125
2010-03-08,1131.300048828125
2010-03-09,1132.0
2010-03-10,1129.699951171875
2010-03-11,1131.4000244140625
2010-03-12,1126.800048828125
2010-03-15,1131.9000244140625
2010-03-16,1132.199951171875
2010-03-17,1129.5
2010-03-18,1129.800048828125
2010-03-19,1133.199951171875
2010-03-22,1134.4000244140625
2010-03-23,1140.199951171875
2010-03-24,1138.699951171875
2010-03-25,1144.800048828125
2010-03-26,1135.800048828125
2010-03-29,1133.4000244140625
2010-03-30,1130.0999755859375
2010-03-31,1131.5999755859375
2010-04-01,1124.199951171875
2010-04-02,1103.699951171875
2010-04-05,1132.199951171875
2010-04-06,1121.5
2010-04-07,1121.300048828125
2010-04-08,1122.0999755859375
2010-04-09,1113.699951171875
2010-04-12,1113.0
2010-04-13,1120.5
2010-04-14,1111.800048828125
2010-04-15,1104.5
2010-04-16,1108.0999755859375
2010-04-19,1115.0
2010-04-20,1117.5
2010-04-21,1105.9000244140625
2010-04-22,1109.5999755859375
2010-04-23,1106.5999755859375
2010-04-26,1097.699951171875
2010-04-27,1114.4000244140625
2010-04-28,1110.9000244140625
2010-04-29,1111.800048828125
2010-04-30,1107.9000244140625
2010-05-03,1115.699951171875
2010-05-04,1120.4000244140625
2010-05-05,1121.0
2010-05-06,1144.9000244140625
2010-05-07,1151.0
2010-05-10,1138.5
2010-05-11,1141.4000244140625
2010-05-12,1143.0999755859375
2010-05-13,1108.9000244140625
2010-05-14,1132.4000244140625
2010-05-17,1122.300048828125
2010-05-18,1162.0999755859375
2010-05-19,1120.800048828125
2010-05-20,1182.5999755859375
2010-05-21,1193.5
2010-05-24,1193.5
2010-05-25,1243.5999755859375
2010-05-26,1257.4000244140625
2010-05-27,1225.5
2010-05-28,1203.300048828125
2010-05-31,1200.0
2010-06-01,1218.5
2010-06-02,1212.5
2010-06-03,1200.0999755859375
2010-06-04,1203.5
2010-06-07,1237.800048828125
2010-06-08,1235.300048828125
2010-06-09,1252.4000244140625
2010-06-10,1249.699951171875
2010-06-11,1241.4000244140625
2010-06-14,1226.4000244140625
2010-06-15,1228.9000244140625
2010-06-16,1211.5999755859375
2010-06-17,1210.5999755859375
2010-06-18,1202.5999755859375
2010-06-21,1180.0999755859375
2010-06-22,1185.5
2010-06-23,1178.0999755859375
2010-06-24,1190.300048828125
2010-06-25,1210.300048828125
2010-06-28,1207.0
2010-06-29,1216.5999755859375
2010-06-30,1227.199951171875
2010-07-01,1223.0999755859375
2010-07-02,1228.9000244140625
2010-07-05,1221.5999755859375
2010-07-06,1223.5
2010-07-07,1217.300048828125
2010-07-08,1205.0999755859375
2010-07-09,1196.800048828125
2010-07-12,1201.5
2010-07-13,1211.9000244140625
2010-07-14,1176.5
2010-07-15,1198.199951171875
2010-07-16,1201.5999755859375
2010-07-19,1215.4000244140625
2010-07-20,1207.9000244140625
2010-07-21,1207.800048828125
2010-07-22,1202.800048828125
2010-07-23,1193.4000244140625
2010-07-26,1188.699951171875
2010-07-27,1181.0
2010-07-28,1185.4000244140625
2010-07-29,1184.300048828125
2010-07-30,1184.0999755859375
2010-08-02,1172.199951171875
2010-08-03,1171.699951171875
2010-08-04,1171.5999755859375
2010-08-05,1167.300048828125
2010-08-06,1163.699951171875
2010-08-09,1160.0999755859375
2010-08-10,1160.5
2010-08-11,1159.699951171875
2010-08-12,1186.300048828125
2010-08-13,1188.5
2010-08-16,1182.199951171875
2010-08-17,1188.300048828125
2010-08-18,1175.9000244140625
2010-08-19,1174.9000244140625
2010-08-20,1174.5999755859375
2010-08-23,1180.5999755859375
2010-08-24,1183.699951171875
2010-08-25,1195.4000244140625
2010-08-26,1195.0999755859375
2010-08-27,1190.800048828125
2010-08-30,1195.5999755859375
2010-08-31,1193.0999755859375
2010-09-01,1199.5999755859375
