Unnamed: 0,Symbol,Name,Sector,Industry
245,ITW,Illinois Tool Works,Industrials,Specialty Industrial Machinery
246,INCY,Incyte,Healthcare,Biotechnology
247,IR,Ingersoll Rand,Industrials,Specialty Industrial Machinery
248,PODD,Insulet Corporation,Healthcare,Medical Devices
249,INTC,Intel,Technology,Semiconductors
250,ICE,Intercontinental Exchange,Financial Services,Financial Data & Stock Exchanges
251,IFF,International Flavors & Fragrances,Basic Materials,Specialty Chemicals
252,IP,International Paper,Consumer Cyclical,Packaging & Containers
253,IPG,Interpublic Group of Companies (The),Communication Services,Advertising Agencies
254,INTU,Intuit,Technology,Software - Application
255,ISRG,Intuitive Surgical,Healthcare,Medical Instruments & Supplies
256,IVZ,Invesco,Financial Services,Asset Management
257,INVH,Invitation Homes,Real Estate,REIT - Residential
258,IQV,IQVIA,Healthcare,Diagnostics & Research
259,IRM,Iron Mountain,Real Estate,REIT - Specialty
260,JBHT,J.B. Hunt,Industrials,Integrated Freight & Logistics
261,JBL,Jabil,Technology,Electronic Components
262,JKHY,Jack Henry & Associates,Technology,Information Technology Services
263,J,Jacobs Solutions,Industrials,Engineering & Construction
264,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
265,JCI,Johnson Controls,Industrials,Building Products & Equipment
266,JPM,JPMorgan Chase,Financial Services,Banks - Diversified
267,JNPR,Juniper Networks,Technology,Communication Equipment
268,K,Kellanova,Consumer Defensive,Packaged Foods
269,KVUE,Kenvue,Consumer Defensive,Household & Personal Products
270,KDP,Keurig Dr Pepper,Consumer Defensive,Beverages - Non-Alcoholic
271,KEY,KeyCorp,Financial Services,Banks - Regional
272,KEYS,Keysight Technologies,Technology,Scientific & Technical Instruments
273,KMB,Kimberly-Clark,Consumer Defensive,Household & Personal Products
274,KIM,Kimco Realty,Real Estate,REIT - Retail
275,KMI,Kinder Morgan,Energy,Oil & Gas Midstream
276,KKR,KKR,Financial Services,Asset Management
277,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials
278,KHC,Kraft Heinz,Consumer Defensive,Packaged Foods
279,KR,Kroger,Consumer Defensive,Grocery Stores
280,LHX,L3Harris,Industrials,Aerospace & Defense
281,LH,LabCorp,Healthcare,Diagnostics & Research
282,LRCX,Lam Research,Technology,Semiconductor Equipment & Materials
283,LW,Lamb Weston,Consumer Defensive,Packaged Foods
284,LVS,Las Vegas Sands,Consumer Cyclical,Resorts & Casinos
285,LDOS,Leidos,Technology,Information Technology Services
286,LEN,Lennar,Consumer Cyclical,Residential Construction
287,LLY,Lilly (Eli),Healthcare,Drug Manufacturers - General
288,LIN,Linde plc,Basic Materials,Specialty Chemicals
289,LYV,Live Nation Entertainment,Communication Services,Entertainment
290,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts
291,LMT,Lockheed Martin,Industrials,Aerospace & Defense
292,L,Loews Corporation,Financial Services,Insurance - Property & Casualty
293,LOW,Lowe's,Consumer Cyclical,Home Improvement Retail
294,LULU,Lululemon Athletica,Consumer Cyclical,Apparel Retail
295,LYB,LyondellBasell,Basic Materials,Specialty Chemicals
296,MTB,M&T Bank,Financial Services,Banks - Regional
297,MRO,Marathon Oil,Energy,Oil & Gas E&P
298,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
299,MKTX,MarketAxess,Financial Services,Capital Markets
300,MAR,Marriott International,Consumer Cyclical,Lodging
301,MMC,Marsh McLennan,Financial Services,Insurance Brokers
302,MLM,Martin Marietta Materials,Basic Materials,Building Materials
303,MAS,Masco,Industrials,Building Products & Equipment
304,MA,Mastercard,Financial Services,Credit Services
305,MTCH,Match Group,Communication Services,Internet Content & Information
306,MKC,McCormick & Company,Consumer Defensive,Packaged Foods
307,MCD,McDonald's,Consumer Cyclical,Restaurants
308,MCK,McKesson Corporation,Healthcare,Medical Distribution
309,MDT,Medtronic,Healthcare,Medical Devices
310,MRK,Merck & Co.,Healthcare,Drug Manufacturers - General
311,META,Meta Platforms,Communication Services,Internet Content & Information
312,MET,MetLife,Financial Services,Insurance - Life
313,MTD,Mettler Toledo,Healthcare,Diagnostics & Research
314,MGM,MGM Resorts,Consumer Cyclical,Resorts & Casinos
315,MCHP,Microchip Technology,Technology,Semiconductors
316,MU,Micron Technology,Technology,Semiconductors
317,MSFT,Microsoft,Technology,Software - Infrastructure
318,MAA,Mid-America Apartment Communities,Real Estate,REIT - Residential
319,MRNA,Moderna,Healthcare,Biotechnology
320,MHK,Mohawk Industries,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
321,MOH,Molina Healthcare,Healthcare,Healthcare Plans
322,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers
323,MDLZ,Mondelez International,Consumer Defensive,Confectioners
324,MPWR,Monolithic Power Systems,Technology,Semiconductors
325,MNST,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic
326,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges
327,MS,Morgan Stanley,Financial Services,Capital Markets
328,MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs
329,MSI,Motorola Solutions,Technology,Communication Equipment
330,MSCI,MSCI,Financial Services,Financial Data & Stock Exchanges
331,NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges
332,NTAP,NetApp,Technology,Computer Hardware
333,NFLX,Netflix,Communication Services,Entertainment
334,NEM,Newmont,Basic Materials,Gold
335,NWSA,News Corp (Class A),Communication Services,Entertainment
336,NWS,News Corp (Class B),Communication Services,Entertainment
337,NEE,NextEra Energy,Utilities,Utilities - Regulated Electric
338,NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories
339,NI,NiSource,Utilities,Utilities - Regulated Gas
340,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery
341,NSC,Norfolk Southern Railway,Industrials,Railroads
342,NTRS,Northern Trust,Financial Services,Asset Management
343,NOC,Northrop Grumman,Industrials,Aerospace & Defense
344,NCLH,Norwegian Cruise Line Holdings,Consumer Cyclical,Travel Services
345,NRG,NRG Energy,Utilities,Utilities - Independent Power Producers
346,NUE,Nucor,Basic Materials,Steel
347,NVDA,Nvidia,Technology,Semiconductors
348,NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction
349,NXPI,NXP Semiconductors,Technology,Semiconductors
350,ORLY,O'Reilly Auto Parts,Consumer Cyclical,Specialty Retail
351,OXY,Occidental Petroleum,Energy,Oil & Gas E&P
352,ODFL,Old Dominion,Industrials,Trucking
353,OMC,Omnicom Group,Communication Services,Advertising Agencies
354,ON,ON Semiconductor,Technology,Semiconductors
355,OKE,ONEOK,Energy,Oil & Gas Midstream
356,ORCL,Oracle Corporation,Technology,Software - Infrastructure
357,OTIS,Otis Worldwide,Industrials,Specialty Industrial Machinery
358,PCAR,Paccar,Industrials,Farm & Heavy Construction Machinery
359,PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers
360,PLTR,Palantir Technologies,Technology,Software - Infrastructure
361,PANW,Palo Alto Networks,Technology,Software - Infrastructure
362,PARA,Paramount Global,Communication Services,Entertainment
363,PH,Parker Hannifin,Industrials,Specialty Industrial Machinery
364,PAYX,Paychex,Technology,Software - Application
365,PAYC,Paycom,Technology,Software - Application
366,PYPL,PayPal,Financial Services,Credit Services
367,PNR,Pentair,Industrials,Specialty Industrial Machinery
